20200327	1	COVID-19 Ireland Day 26: We applauded our health workers. A long over due reward.  #Coronavirusireland #COVID19IRELAND #Coronacrisis #StayAtHomeSaveLives
20200327	2	#Coronavirus: US cancels military drills with Philippines over coronavirus. #StayAtHomeSaveLives
20200410	0	The curve is flattening  Imagine had you Warren & health dept not said it's no big deal-hop on the train-celebrate Chinese new year, etc?  Imagine had you not taken forever to make a decision  Supermkts have been open-it's time to reopen #NY #coronavirus #ReopenAmericaNow
20200412	0	20,000 people have died from Covid-19 half of which are from one liberal city NYC.  So why shut down 50 states for a virus that hasn’t even killed 61K like the FLU.  @realDonaldTrump #COVID__19 #EasterSunday #ReopenAmericaNow @mitchellvii @RealJamesWoods @dbongino @DineshDSouza
20200414	0	@TeamCavuto @FoxNews Screw you and your law experts. @realDonaldTrump during a national emergency can write an executive order that orders local government to open up. The reason is simple federal law is supreme over state laws #COVID19 #FireFauci #ReopenNC #ReopenAmericaNow 1/2
20200418	1	A good friend is sobbing to my wife as her aunt is dying of COVID-19 because she had the nerve to get a kidney stone and have to go to a hospital. So with all due respect (which is none) fuck all of you ghouls who want to #ReopenAmericaNow.
20200418	1	Republicans in 2009: Obamacare will have death panels. If you're old or sick you're screwed.  Republicans in 2020: We gotta open the economy. So if you're old or sick you're screwed.  #COVID19 #ReopenAmerica #ReopenAmericaNow
20200418	1	The Trump admin is so short-sighted. The only reason they mention collateral damage in context of health due to the shutdown is only to weigh it against the direct #COVID19 impact purely to bolster #ReopenAmericaNow stance for economic reasons. This isn’t a people focused policy.
20200419	0	Now's the time to #ReopenAmerica . The #COVID19 models that were used to shut the country down were off by 800%, Democrat governors & mayors are using the shutdown to curtail our rights w/insane exec orders. Enough already. #ReopenAmericaNow cc: @realDonaldTrump @GovRonDeSantis
20200423	0	I did not create the meme, but, I like the analogy, not so much that image. I am DEEPLY disturbed by so much overreach by the Governors like @GovSisolak . So much of our #ConstitutionalRights being taken. No one questioning ANYTHING. #coronavirus #vegas #ReopenAmericaNow
20200425	1	Anyone that thinks death is better than economic hardship has never been poor.  Anyone that thinks death is better than economic hardship deserves to become poor.  #Trump #lifetrumpsmoney #coronavirus #ReopenAmericaNow
20200425	1	How is the cure (economic hardship) worst then death?   How can the American public consciousness be arguing about this.  Money is good but #LifeTrumpsMoney #coronavirus #lockdown #ReopenAmericaNow
20200616	1	If elderly people were asked to stay home to protect the younger generation from a virus, they would; it is sad that the younger generation cannot offer that same respect in reverse.  #COVID19 #Covid19AZ #CoronavirusAZ #MaskUpAZ #WearAMask #StayAtHome #StayAtHomeSaveLives
20200617	0	2/ We can see from our June 2nd Primary & 3 weeks of early, in person voting, that poll workers did not contract #covid19. It's just an excuse at this point to try and cheat the electorate. #election2020 #newmexico #nmpol #nmgov #savelosalamos #reopennm #endthelockdown
20200617	0	So is the flu and pneumonia what are their #’s stop the #MediaManipulation #covid19 has treatments. You’re @SpeakerPelosi nephew so stop the #agenda LIES!!! #OPENAMERICANOW
20200625	0	.@realDonaldTrump as planned, we flattened the Covid-19 curve long ago, mission complete!  Now, every business in America should be allowed to legally open and run their businesses as they see fit.  The government should not have a say in this—this is America!  #OPENAMERICANOW
20200625	0	Idiots.. Wake up America now, communists are trying to take over our country.  #OPENAMERICANOW
20200625	2	Who is ready for some #baseball?  #BaseballisBack #MLB #OPENAMERICANOW
20200626	0	Good for you for not caving to this dystopian nightmare and rules that make no sense! #endthelockdown
20200626	0	In my country we have really mentally deficient gangs known as democrats and republicans. Those in charge of each gang dictate everything to the rest. Most of the rest are clueless about anything, and follow along.  #fakevirus #coronavirushoax #covidiots #endthelockdown
20200626	0	Thank you, Mr. President.  Mortality rate of 0.09 for those under 65 is not worthy of a shutdown and the schools should reopen with no restrictions. #OPENAMERICANOW
20200626	0	This is a BOMBSHELL!!! CDC says an estimated 20 MILLION Americans have had the virus, most w/ NO symptoms. That lowers the death rate to .62%   WHO said the death rate was 3.4%. That is a huge difference & why it is safe to #OPENAMERICANOW
20200626	2	And now Toronto is letting people occupy downtown Toronto @TorontoPolice @JohnTory you guys are a true joke to the society of Canada.   Canada the swamp is here...you want Seattle, well you got it!  #EnoughIsEnough #CorruptionInGovernment #NotMyPrimeMinister #EndTheShutdown
20200626	2	No. One. Cares. #endthelockdown
20200626	2	Rational people knew this four months ago.  FN morons. #OPENAMERICANOW
20200627	0	#NoMasks needed by "real" men... we have NO fear... your lies ain't working... #OPENAMERICANOW
20200627	0	@GavinNewsom If you're truly concerned about the spike in hospitalizations why haven't you asked for the floating Navy Hospital to return? Why have the popup hospitals closed?  #FakeNews #endthelockdown
20200627	0	@RonDeSantisFL You're not very smart are you? You politicised coronavirus at the expense of American lives. Closing up businesses again are you? You're not very smart.  A word is enough for the wise. #coronavirus #StaySafeStayHome
